name,title,date,url
정보보호산업진흥포털,시큐리티 아카데미 교육사업,2024. 5. 7.,https://www.ksecurity.or.kr
효성컴퓨터학원,대전컴퓨터학원 효성컴퓨터학원 여름방학 이벤트,2024. 1. 30.,https://www.comgopa.co.kr
교육을바꾸는사람들,유아 안전교육에 놀이를 담다,2024. 3. 20.,https://21erick.org
한우리 독서지도사,독서지도사 양성과정 온라인,2024. 6. 4.,https://www.hanuricampus.com
충남인력개발원,전문기술교육과정,2024. 7. 16.,https://cn.korchamhrd.net
(주)도경,2개월 수강소감문입니다.,2024. 5. 7.,http://www.dkspeech.com
한국정보보호산업협회,교육 사업 / - 시큐리티 아카데미,2024. 5. 8.,https://www.kisia.or.kr
꿈이음사업,제도소개 | 꿈이음사업,2024. 3. 19.,https://educerti.or.kr
경기도일자리재단,경기도기술학교,2024. 7. 9.,https://www.gjf.or.kr
구름 IDE,카카오클라우드 스쿨 in JEJU 모집,2024. 2. 25.,No URL available
울산광역시 여성회관,키즈단체급식조리원 양성과정,2024. 4. 5.,No URL available
더조은컴퓨터아카데미,"[IT·프로그래밍] 빅데이터(파이썬) 분석 기반 AI(머신러닝, 딥 ...",2024. 6. 13.,http://m.tjoeun.co.kr
E아시아경제,아시아경제교육센터 - 교육과정,2024. 3. 12.,https://e.asiae.co.kr
인력개발원HRD포털,구직자교육,2024. 2. 12.,https://www.korchamhrd.net
서경대학교,[교육][아시아경제 교육센터] 고용부 국비지원(전액무료 ...,2024. 6. 20.,https://www.skuniv.ac.kr
계명대학교,신입생 생활안내서,2024. 5. 29.,No URL available
서울우먼업,시/국비지원 직업교육훈련 - 관악여성인력개발센터 - 서울우먼업,2024. 3. 9.,https://gwanak.seoulwomanup.or.kr
구미상공회의소,지역소식 - 구미상공회의소,2024. 3. 26.,https://gumicci.korcham.net
안양대학교,[KISIA] 2024 상반기 시큐리티아카데미 | 컴퓨터공학과,2024. 1. 22.,https://www.anyang.ac.kr
onkpc.or.kr,2023 농협 통신연수 교육과정 안내,2024. 4. 24.,https://onkpc.or.kr
영진전문대학교,영진전문대학 P-TECH사업단 > 교육과정 > 스마트금형과,2024. 7. 15.,https://yjlearning.yju.ac.kr
YBM Lemon,수강신청,2024. 6. 13.,https://www.ybmlemon.com
전업농신문,"농식품부, '스마트팜 청년창업 보육센터' 신규 7기 교육생 모집",2024. 5. 13.,https://www.palnews.co.kr
부산경제진흥원,상세보기 | 일자리지원 | 지원사업안내,2024. 4. 29.,https://bepa.kr
분야별정보,`우먼 테크교육 플랫폼`으로 IT·테크 업계 여성인재 키운다 ...,2024. 4. 4.,https://news.seoul.go.kr
델타학원.kr,델타 수학 시간표 - 델타학원,2024. 7. 13.,https://델타학원.kr
행복기숙사,「2024년 글로컬 청년취업사관학교」 참여자 추가모집 연장 ...,2024. 6. 17.,No URL available
혜민간호학원,국민보건 향상에 기여하는 창의적이고 능동적인 간호인력을 ...,2024. 4. 3.,http://edu-hyemin.com
한국전파진흥협회,텔레칩스 차량용 반도체 임베디드 스쿨 - RAPA DX캠퍼스,2024. 6. 14.,https://edu.rapa.or.kr
동방디자인학원,실내건축자격증(기사/산업기사/기능사) 교육과정,2024. 1. 3.,https://www.dbad.co.kr
한국보육진흥원,2024년 어린이집 품질관리(평가 사후 지원) 시범사업 안내,2024. 6. 17.,No URL available
메타드론항공,교육과정,2024. 7. 15.,http://www.산업용드론.kr
sciencecenter.go.kr,국립과천과학관 교육관 학습관리 시스템,2024. 4. 2.,https://www.sciencecenter.go.kr
에이블런,[무료] 비전공자를 위한 개발자 양성과정 (웹 개발/ 클라우드),2024. 5. 13.,https://ablearn.kr
