keyword,name,title,date,url
기획자 과정,Facebook,김영갑교수의 상권분석 마케팅 전문가과정,2024. 4. 11.,https://m.facebook.com/groups/marketingarea/posts/3915551768677450/
기획자 과정,요즘IT,25번 면접 본 기획자의 이직 A to Z ① 기업 분석과 이력서 - 요즘IT,2024. 7. 16.,https://yozm.wishket.com/magazine/detail/2674/
기획자 과정,좋은습관연구소,광고 기획자는 어떻게 일을 하는 걸까? – 광고 제작의 5단계,2024. 7. 30.,https://buildhabits.kr/2024/07/30/%EA%B4%91%EA%B3%A0-%EA%B8%B0%ED%9A%8D%EC%9E%90%EB%8A%94-%EC%96%B4%EB%96%BB%EA%B2%8C-%EC%9D%BC%EC%9D%84-%ED%95%98%EB%8A%94-%EA%B1%B8%EA%B9%8C-%EA%B4%91%EA%B3%A0-%EC%A0%9C%EC%9E%91%EC%9D%98-5/
기획자 과정,비전21뉴스,"이천시, 청년이 상상하는대로 지역 청년기획자 양성 과정 ...",2024. 7. 15.,http://www.vision21.kr/news/article.html?no=376611
기획자 과정,documento.co.kr,왕의 DNA를 가진 기획자 : 나라장터 제안서 작성 방법 | 도큐멘토,2024. 7. 8.,https://www.documento.co.kr/87/?bmode=view&idx=16096797
기획자 과정,티스토리,서비스 기획자가 되려면 필요한 세 가지,2024. 6. 9.,https://neokcham.tistory.com/entry/%EB%82%B4%EA%B0%80-%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B8%B0%ED%9A%8D%EC%9E%90%EA%B0%80-%EB%90%9C-%EC%9D%B4%EC%9C%A0-%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B8%B0%ED%9A%8D%EC%9E%90%EA%B0%80-%EB%90%98%EB%A0%A4%EB%A9%B4-%ED%95%84%EC%9A%94%ED%95%9C-%EC%84%B8-%EA%B0%80%EC%A7%80
기획자 과정,Medium,도메인 지식이 부족한 기획자가 회사에서 일하는 법,2024. 7. 20.,https://medium.com/@gyubkim/%EB%8F%84%EB%A9%94%EC%9D%B8-%EC%A7%80%EC%8B%9D%EC%9D%B4-%EB%B6%80%EC%A1%B1%ED%95%9C-%EA%B8%B0%ED%9A%8D%EC%9E%90%EA%B0%80-%ED%9A%8C%EC%82%AC%EC%97%90%EC%84%9C-%EC%9D%BC%ED%95%98%EB%8A%94-%EB%B2%95-1f4452fdb4c9
기획자 과정,한림대학교,MICE기획경영전공 | 한림대학교 > 대학/대학원 > 글로벌융합 ...,2024. 6. 27.,https://www.hallym.ac.kr/hallym_univ/sub01/cP10/sCP8.html
기획자 과정,Facebook,한식도 이렇게 메뉴구성 해 보시죠^^ #외식업컨셉기획자 ...,2024. 6. 21.,https://m.facebook.com/100001243833265/videos/%ED%95%9C%EC%8B%9D%EB%8F%84-%EC%9D%B4%EB%A0%87%EA%B2%8C-%EB%A9%94%EB%89%B4%EA%B5%AC%EC%84%B1-%ED%95%B4-%EB%B3%B4%EC%8B%9C%EC%A3%A0-%EC%99%B8%EC%8B%9D%EC%97%85%EC%BB%A8%EC%85%89%EA%B8%B0%ED%9A%8D%EC%9E%90%EA%B3%BC%EC%A0%95-%EB%A9%94%EB%89%B4%EA%B0%9C%EB%B0%9C/1219491309217352/
기획자 과정,엘리스 내일패스,Figma 프로젝트로 배우는 서비스 기획 기초 - 엘리스 내일패스,2024. 3. 26.,http://kdc-home.elice.io/80
기획자 과정,위픽레터,마케터가 기획자/디자이너/개발자와 친해지는 방법,2024. 3. 13.,https://letter.wepick.kr/510/4405033/
기획자 과정,누리마루 학원,게임기획과정 - maru game school,2024. 2. 23.,http://www.maruschool.com/curriculum/gameplanningcourse.php
기획자 과정,한서대학교,[SCOUT ACADEMY] 창업기획자 양성과정 프로그램 계획(안),2024. 5. 24.,https://www.hanseo.ac.kr/boardCnts/fileDown.do?fileSeq=5e9d97cd4876ddae48f3fb8e68b6c9bb
기획자 과정,한국공예·디자인문화진흥원,전통문화 전문인력양성: 전통가온 - 전통생활문화 - 사업안내,2024. 3. 4.,https://www.kcdf.or.kr/cms/content/view/551
기획자 과정,이천뉴스룸,청년이 상상하는대로 지역 청년기획자 양성 과정 수강생 모집,2024. 7. 15.,https://www.ditime.kr/news/articleView.html?idxno=21786
